' a1 real',' a2 real',' a3 real',' a5 real',' a6 real',' a7 real',class
49,29,48,56,24,35,negative
7,4,48,54,35,44,negative
56,4,48,49,37,46,negative
59,49,48,52,45,36,negative
23,32,48,55,25,35,negative
67,39,48,36,38,46,negative
29,28,48,44,23,34,negative
21,34,48,51,28,39,negative
2,44,48,46,51,57,negative
42,4,48,56,18,3,negative
42,24,48,57,27,37,negative
25,48,48,44,17,29,negative
39,32,48,46,24,35,negative
51,5,48,46,32,35,negative
22,43,48,48,16,28,negative
25,4,48,46,44,52,negative
34,45,48,38,24,35,negative
44,27,48,55,52,58,negative
23,4,48,39,28,38,negative
41,57,48,39,21,32,negative
4,45,48,38,22,0,negative
31,23,48,73,5,14,negative
51,54,48,41,34,43,negative
3,16,48,56,11,23,negative
36,39,48,48,22,23,negative
29,37,48,48,44,52,negative
25,4,48,47,33,42,negative
21,51,48,5,32,41,negative
43,37,48,53,35,44,negative
43,39,48,47,31,41,negative
53,38,48,44,26,36,negative
34,33,48,38,35,44,negative
56,51,48,34,37,46,negative
4,29,48,42,35,44,negative
24,35,48,31,19,31,negative
36,54,48,41,38,46,negative
29,52,48,42,29,39,negative
65,47,48,59,3,4,negative
32,42,48,35,28,38,negative
38,46,48,48,22,29,negative
33,45,48,52,32,41,negative
3,37,48,59,41,49,negative
4,5,48,45,39,47,negative
28,38,48,5,33,42,negative
61,45,48,48,35,41,negative
17,38,48,45,42,5,negative
44,35,48,55,55,61,negative
43,4,48,39,28,39,negative
42,35,48,58,15,27,negative
23,33,48,43,33,43,negative
37,52,48,42,42,36,negative
29,3,48,45,3,17,negative
22,36,48,35,39,47,negative
23,58,48,37,53,59,negative
47,47,48,22,16,26,negative
54,47,48,28,33,42,negative
51,37,48,35,36,45,negative
4,35,48,45,33,42,negative
44,34,48,3,33,43,negative
42,38,48,54,34,43,negative
44,56,48,5,46,54,negative
52,36,48,41,28,38,negative
36,41,48,48,47,54,negative
18,3,48,46,24,35,negative
47,29,48,51,33,43,negative
24,43,48,54,52,59,negative
25,37,48,41,33,42,negative
52,57,48,42,47,54,negative
25,37,48,43,26,36,negative
35,48,48,56,4,48,negative
26,26,48,34,25,35,negative
44,51,48,47,26,36,negative
37,5,48,42,36,45,negative
44,42,48,42,25,2,negative
24,43,48,37,28,38,negative
42,3,48,48,26,36,negative
48,42,48,45,25,35,negative
41,48,48,51,44,51,negative
44,28,48,43,27,37,negative
29,41,48,48,38,46,negative
34,28,48,41,35,44,negative
41,43,48,45,31,41,negative
29,47,48,41,23,34,negative
34,55,48,58,31,41,negative
36,56,48,43,45,53,negative
4,46,48,52,49,56,negative
5,49,48,49,46,53,negative
52,44,48,37,36,42,negative
5,51,48,27,23,34,negative
53,42,48,16,29,39,negative
34,46,48,52,35,44,negative
4,42,48,37,27,27,negative
41,43,48,5,24,25,negative
3,45,48,36,21,32,negative
31,47,48,29,28,39,negative
64,76,48,45,35,38,negative
35,37,48,3,34,43,negative
57,54,48,37,28,33,negative
65,55,48,34,37,28,negative
51,46,48,58,31,41,negative
38,4,48,63,25,35,negative
24,57,48,63,34,43,negative
38,26,48,54,16,28,negative
33,47,48,53,18,29,negative
24,34,48,38,3,4,negative
26,5,48,44,32,41,negative
44,49,48,39,38,4,negative
43,32,48,33,45,52,negative
49,43,48,49,3,4,negative
47,28,48,56,2,25,negative
32,33,48,6,6,2,negative
34,35,48,51,49,56,negative
35,34,48,46,3,27,negative
38,3,48,43,29,39,negative
38,44,48,43,2,31,negative
41,51,48,58,2,31,negative
34,42,48,41,34,43,negative
51,49,48,53,14,26,negative
25,51,48,37,42,5,negative
29,28,48,5,42,5,negative
25,26,48,39,32,42,negative
24,41,48,49,23,34,negative
17,39,48,53,3,39,negative
4,31,48,41,29,39,negative
61,36,48,49,35,44,negative
34,51,48,44,37,46,negative
28,33,48,45,22,33,negative
4,46,48,42,35,44,negative
23,34,48,43,26,37,negative
37,44,48,42,39,47,negative
0,38,48,42,48,55,negative
39,31,48,38,34,43,negative
3,44,48,49,22,33,negative
27,3,48,71,28,39,negative
17,52,48,49,37,46,negative
36,42,48,53,32,41,negative
3,37,48,43,18,3,negative
26,4,48,36,26,37,negative
4,41,48,55,22,33,negative
22,34,48,42,29,39,negative
44,35,48,44,52,59,negative
27,42,48,37,38,43,negative
16,43,48,54,27,37,negative
6,61,48,49,92,37,negative
44,52,48,43,47,54,negative
63,47,48,51,82,84,negative
23,48,48,59,88,89,negative
34,49,48,58,85,8,negative
43,4,48,58,75,78,negative
46,61,48,48,86,87,negative
27,35,48,51,77,79,negative
52,39,48,65,71,73,negative
29,47,48,71,65,69,negative
55,47,48,57,78,8,negative
12,67,48,74,58,63,negative
4,5,48,65,82,84,negative
73,36,48,53,91,92,negative
84,44,48,48,71,74,negative
48,45,48,6,78,8,negative
54,49,48,4,87,88,negative
48,41,48,51,9,88,negative
5,66,48,31,92,92,negative
72,46,48,51,66,7,negative
47,55,48,58,71,75,negative
33,56,48,33,78,8,negative
64,58,48,48,78,73,negative
54,57,48,56,81,83,negative
47,59,48,52,76,79,negative
63,5,48,59,85,86,negative
49,42,48,53,79,81,negative
31,5,48,57,84,85,negative
74,44,48,55,88,89,negative
33,45,48,45,88,89,negative
45,4,48,61,74,77,negative
71,4,48,71,7,74,negative
5,37,48,66,64,69,negative
66,53,48,59,66,66,negative
6,61,48,54,67,71,negative
83,37,48,61,71,74,negative
34,51,48,67,9,9,negative
63,54,48,65,79,81,negative
7,4,48,56,86,83,negative
6,5,1,54,77,8,negative
16,51,48,33,39,48,negative
74,7,48,66,65,69,negative
2,46,48,57,78,81,negative
89,55,48,51,72,76,negative
7,46,48,56,78,73,negative
12,43,48,63,7,74,negative
61,52,48,54,67,52,negative
33,37,48,46,65,69,negative
63,65,48,66,67,71,negative
41,51,48,53,75,78,negative
34,67,48,52,76,79,negative
58,34,48,56,87,81,negative
59,56,48,55,8,82,negative
51,4,48,57,62,67,negative
5,57,48,71,61,66,negative
6,46,48,45,81,83,negative
37,47,48,39,76,79,negative
58,55,48,57,7,74,negative
36,47,48,51,69,72,negative
39,41,48,52,72,75,negative
35,51,48,61,71,74,negative
31,44,48,5,79,82,negative
61,66,48,46,87,88,negative
48,49,48,52,77,71,negative
11,5,48,58,72,68,negative
31,36,48,58,94,94,negative
68,51,48,71,75,78,negative
69,39,48,57,76,79,negative
52,54,48,62,76,79,negative
46,59,48,36,76,23,negative
36,45,48,38,79,17,negative
0,51,48,35,67,44,negative
1,49,48,41,67,21,negative
3,51,48,42,61,34,negative
61,47,48,0,8,32,negative
63,75,48,64,73,66,negative
71,52,48,64,1,99,negative
72,42,48,65,77,79,negative
79,41,48,66,81,83,negative
83,48,48,65,76,79,negative
69,43,48,59,74,77,negative
79,36,48,46,82,7,negative
78,33,48,57,77,79,negative
75,37,48,64,7,74,negative
59,29,48,64,75,77,negative
67,37,48,54,64,68,negative
66,48,48,54,7,74,negative
64,46,48,48,73,76,negative
76,71,48,5,71,75,negative
84,49,48,55,78,74,negative
77,55,48,51,78,74,negative
81,44,48,42,67,68,negative
58,6,48,59,73,76,negative
63,42,48,48,77,8,negative
62,42,48,58,79,81,negative
86,39,48,59,89,9,negative
81,53,48,57,87,88,negative
87,49,48,61,76,79,negative
47,46,48,62,74,77,negative
76,41,48,5,59,62,negative
7,53,48,7,86,87,negative
64,45,48,67,61,66,negative
81,52,48,57,78,8,negative
73,26,48,57,75,78,negative
49,61,1,56,71,74,negative
88,42,48,52,73,75,negative
84,54,48,75,92,7,negative
63,51,48,64,72,76,negative
86,55,48,63,81,83,negative
79,54,48,5,66,68,negative
57,38,48,6,49,33,negative
78,44,48,45,73,68,negative
74,49,48,42,54,36,negative
7,61,48,56,52,43,negative
66,86,48,34,41,36,negative
73,78,48,58,51,31,negative
65,57,48,47,47,51,negative
72,86,48,17,55,21,negative
67,7,48,46,45,33,negative
67,81,48,54,49,23,negative
67,61,48,51,37,38,negative
63,1,48,35,51,49,negative
57,59,48,39,47,33,negative
71,71,48,4,54,39,negative
66,74,48,31,38,43,negative
67,81,48,25,42,25,negative
64,72,48,49,42,19,negative
68,82,48,38,65,56,negative
32,39,48,53,28,38,negative
7,64,48,47,51,47,negative
63,57,48,49,7,2,negative
74,82,48,49,49,41,negative
63,86,48,39,47,34,negative
63,83,48,4,39,19,negative
63,71,48,6,4,39,negative
71,86,48,4,54,32,negative
68,78,48,43,44,42,negative
64,84,48,37,45,4,negative
74,47,48,5,57,42,negative
75,84,48,35,52,33,negative
63,65,48,39,44,35,negative
69,67,48,3,39,24,negative
7,71,48,42,84,85,negative
69,8,48,46,57,26,negative
64,66,48,41,39,2,negative
63,8,48,46,31,29,negative
66,71,48,41,5,35,negative
69,59,48,46,44,52,negative
68,67,48,49,4,34,negative
64,78,48,5,36,38,negative
62,78,48,47,49,54,negative
76,73,48,44,39,39,negative
64,81,48,37,39,44,negative
29,39,48,52,4,48,negative
62,83,48,46,36,4,negative
56,54,48,43,37,3,negative
69,66,48,41,5,25,negative
69,65,48,63,48,41,negative
43,59,48,52,49,56,negative
74,56,48,47,68,3,negative
71,57,48,48,35,32,negative
61,6,48,44,39,38,negative
59,61,48,42,42,37,negative
74,74,48,31,53,52,negative
78,68,48,83,4,29,positive
63,69,48,65,41,28,positive
67,88,48,73,5,25,positive
61,75,48,51,33,33,positive
67,84,48,74,54,37,positive
74,9,48,57,53,29,positive
73,84,48,86,58,29,positive
75,76,48,83,57,3,positive
77,57,48,88,53,2,positive
74,78,48,75,54,15,positive
68,76,48,84,45,27,positive
56,68,48,77,36,45,positive
65,51,48,66,54,33,positive
52,81,48,72,38,38,positive
64,57,48,7,33,26,positive
6,76,1,77,59,52,positive
69,59,48,77,39,21,positive
63,49,48,79,45,28,positive
71,71,48,68,43,36,positive
68,63,48,73,4,3,positive
77,57,1,37,54,1,positive
66,49,1,54,56,36,positive
71,46,1,52,59,3,positive
67,55,1,66,58,16,positive
68,49,1,62,55,28,positive
76.894795,76.148796,48,76.411328,4.71074,28.389055,positive
52.661481,80.366339,48,67.78022,39.957446,30.94057,positive
61.813222,80.989624,48,72.069437,26.326891,29.99178,positive
65.169688,82.24705,48,63.032109,48.623674,33.568091,positive
67.301551,76.06231,48,72.355585,51.907776,36.998701,positive
72.228523,16.122194,48,78.424348,51.036588,28.605479,positive
70.967296,76.401281,48,85.225499,54.473025,28.774358,positive
75.239678,63.602943,48,84.033688,55.501402,2.53665,positive
74.38341,57.977519,48,85.452519,50.776501,10.522875,positive
74.491451,77.142432,48,80.738579,56.887244,12.486087,positive
68.727435,71.994215,48,75.69941,43.946548,30.240494,positive
57.784366,68.777916,48,65.202762,40.018093,30.782646,positive
66.749691,53.566275,48,70.101606,40.341507,29.349168,positive
54.893487,74.376592,48,72.766231,36.57885,43.767866,positive
62.037053,69.739827,48,9.791767,33,27.988064,positive
9.651301,75.407617,32.956965,77,45.108375,46.052514,positive
70.126955,61.899267,48,69.568233,41.159047,30.62755,positive
64.356467,68.705246,48,79.218513,45,27.13755,positive
70.662992,78.252128,48,71.580121,53.647773,36.630471,positive
68.567293,60.351896,48,73.985943,12.697107,15.72345,positive
72.33373,54.619527,1,49.493556,55.324319,2.153423,positive
66.177243,53.056739,1,62.920435,57.858205,24.202129,positive
71.05011,52.010114,1,40.820469,57.152639,1.889912,positive
67.786758,48.208184,1,65.409498,58.378623,5.77408,positive
67.12304,50.595126,25.770689,63.670542,54.139503,32.688371,positive
